player,field,from,to,source
Drew Shelton,teamID,Rookie,DAL,espn
CJ Daniels,rating,69,68,
CJ Daniels,teamID,Rookie,LAR,espn
Nikko Remigio,rating,63,67,
Nikko Remigio,teamID,Free Agent,KC,espn
George Holani,rating,60,67,
George Holani,teamID,Free Agent,SEA,espn
DeeJay Dallas,rating,71,67,
DeeJay Dallas,teamID,JAX,MIN,espn
Thomas Booker,rating,59,66,
Thomas Booker,teamID,Free Agent,LV,espn
Ameer Speed,rating,61,65,
Ameer Speed,teamID,Free Agent,DAL,espn
D.J. Montgomery,rating,57,64,
D.J. Montgomery,teamID,Free Agent,IND,espn
Andre Jones Jr.,rating,67,63,
Andre Jones Jr.,position,DE,MLB,
Andre Jones Jr.,teamID,Free Agent,MIA,espn
James Hudson,rating,56,63,
James Hudson,teamID,Free Agent,TEN,espn
Rex Sunahara,rating,54,58,
Rex Sunahara,teamID,Free Agent,CLE,espn
Darren Waller,rating,74,79,
Darren Waller,teamID,Free Agent,CAR,espn
Devonte Wyatt,rating,70,78,
Devonte Wyatt,teamID,Free Agent,GB,espn
Daniel Carlson,rating,69,77,
Daniel Carlson,teamID,Free Agent,NO,espn
Shelby Harris,rating,69,77,
Shelby Harris,teamID,Free Agent,NYG,espn
Martin Emerson,rating,70,75,
Martin Emerson,teamID,Free Agent,NO,espn
Avieon Terrell,rating,83,75,
Avieon Terrell,teamID,Rookie,ATL,espn
Kayden McDonald,rating,83,75,
Kayden McDonald,teamID,Rookie,HOU,espn
Caleb Lomu,rating,83,75,
Caleb Lomu,teamID,Rookie,NE,espn
Trevin Wallace,rating,66,74,
Trevin Wallace,teamID,CAR,NYJ,espn
Andrei Iosivas,rating,68,73,
Andrei Iosivas,teamID,Free Agent,CIN,espn
Jamal Adams,rating,67,72,
Jamal Adams,position,OLB,MLB,
Jamal Adams,teamID,Free Agent,MIN,espn
Noah Igbinoghene,rating,63,71,
Noah Igbinoghene,teamID,SEA,CLE,espn
Mason Tipton,rating,65,70,
Mason Tipton,teamID,Free Agent,NO,espn
Damarri Mathis,rating,62,70,
Damarri Mathis,teamID,Free Agent,CLE,espn
Kentavius Street,rating,62,70,
Kentavius Street,teamID,Free Agent,CHI,espn
Lil'Jordan Humphrey,rating,61,69,
Lil'Jordan Humphrey,teamID,Free Agent,DEN,espn
Julius Chestnut,rating,73,68,
Julius Chestnut,teamID,Free Agent,TEN,espn
Jalon Kilgore,rating,72,67,
Jalon Kilgore,teamID,Rookie,BUF,espn
DJ Campbell,rating,65,67,
DJ Campbell,teamID,Rookie,MIA,espn
Davis Mills,rating,71,66,
Davis Mills,teamID,Free Agent,HOU,espn
Kyle McCord,rating,70,65,
Kyle McCord,teamID,Free Agent,MIA,espn
Tip Reiman,rating,60,65,
Tip Reiman,teamID,Free Agent,ARI,espn
Rejzohn Wright,rating,60,65,
Rejzohn Wright,teamID,Free Agent,NO,espn
Skyler Gill-Howard,rating,70,65,
Skyler Gill-Howard,teamID,Rookie,DET,espn
Nic Jones,rating,69,64,
Nic Jones,teamID,Free Agent,NYG,espn
Khalil Dorsey,rating,56,64,
Khalil Dorsey,teamID,Free Agent,DET,espn
Josh Fryar,rating,71,63,
Josh Fryar,teamID,Free Agent,ARI,espn
Julian Hill,rating,55,63,
Julian Hill,teamID,Free Agent,NE,espn
Mark Redman,rating,55,63,
Mark Redman,teamID,Free Agent,GB,espn
Nick Samac,rating,70,62,
Nick Samac,teamID,CAR,MIN,espn
Caleb Lohner,rating,65,60,
Caleb Lohner,teamID,Free Agent,DEN,espn
Mansoor Delane,rating,88,79,
Mansoor Delane,teamID,Rookie,KC,espn
Xavier Woods,rating,69,78,
Xavier Woods,teamID,Free Agent,CHI,espn
Hogan Hatten,rating,69,78,
Hogan Hatten,teamID,Free Agent,DET,espn
Jacob Rodriguez,teamID,Rookie,MIA,espn
Gabe Jacas,rating,82,76,
Gabe Jacas,position,DE,MLB,
Gabe Jacas,teamID,Rookie,NE,espn
Keyron Crawford,rating,84,75,
Keyron Crawford,teamID,Rookie,LV,espn
Alec Ingold,rating,65,74,
Alec Ingold,teamID,Free Agent,LAC,espn
Terrell Burgess,rating,68,71,
Terrell Burgess,teamID,Free Agent,TEN,espn
Tre Brown,rating,65,71,
Tre Brown,teamID,Free Agent,NYJ,espn
Malik Muhammad,rating,80,71,
Malik Muhammad,teamID,Rookie,CHI,espn
Julian Neal,rating,77,71,
Julian Neal,teamID,Rookie,SEA,espn
M.J. Stewart,rating,64,70,
M.J. Stewart,teamID,Free Agent,HOU,espn
Ephesians Prysock,rating,76,70,
Ephesians Prysock,teamID,Rookie,SF,espn
Kamal Hadden,rating,76,67,
Kamal Hadden,teamID,Free Agent,GB,espn
Khalid Kareem,rating,58,67,
Khalid Kareem,teamID,Free Agent,SF,espn
Jager Burton,rating,73,67,
Jager Burton,teamID,Rookie,GB,espn
Joshua Ezeudu,rating,72,66,
Joshua Ezeudu,teamID,NYG,KC,espn
Cameron Williams,rating,72,66,
Cameron Williams,teamID,PHI,ATL,espn
Mike Caliendo,rating,71,65,
Mike Caliendo,teamID,Free Agent,KC,espn
Swayze Bozeman,rating,58,64,
Swayze Bozeman,teamID,Free Agent,CIN,espn
Kendall Williamson,rating,55,64,
Kendall Williamson,teamID,Free Agent,LAC,espn
Brady Cook,rating,57,63,
Brady Cook,teamID,Free Agent,MIA,espn
Evan Deckers,rating,69,60,
Evan Deckers,teamID,Free Agent,TB,espn
DaQuan Jones,rating,71,81,
DaQuan Jones,teamID,Free Agent,NE,espn
Malachi Lawrence,rating,82,78,
Malachi Lawrence,position,DE,MLB,
Malachi Lawrence,teamID,Rookie,DAL,espn
Cashius Howell,rating,81,77,
Cashius Howell,teamID,Rookie,CIN,espn
Dee Winters,rating,70,77,
Dee Winters,position,OLB,MLB,
Dee Winters,teamID,SF,DAL,espn
Jacob Martin,rating,66,76,
Jacob Martin,teamID,Free Agent,TEN,espn
Makai Lemon,rating,80,76,
Makai Lemon,teamID,Rookie,PHI,espn
Caleb Banks,rating,86,76,
Caleb Banks,teamID,Rookie,MIN,espn
Moro Ojomo,position,DE,DT,
Tim Patrick,rating,64,74,
Tim Patrick,teamID,Free Agent,NYJ,espn
A.J. Haulcy,rating,81,74,
A.J. Haulcy,teamID,Rookie,IND,espn
Andrew Billings,rating,63,73,
Andrew Billings,teamID,Free Agent,ARI,espn
Caleb Ransaw,position,CB,S,
Jake Slaughter,rating,83,73,
Jake Slaughter,teamID,Rookie,LAC,espn
Domonique Orange,rating,83,73,
Domonique Orange,teamID,Rookie,MIN,espn
Gracen Halton,rating,82,72,
Gracen Halton,teamID,Rookie,SF,espn
Kamari Ramsey,rating,79,72,
Kamari Ramsey,teamID,Rookie,HOU,espn
Trevis Gipson,rating,61,71,
Trevis Gipson,position,DE,MLB,
Trevis Gipson,teamID,Free Agent,CAR,espn
Neville Gallimore,rating,61,71,
Neville Gallimore,teamID,Free Agent,CHI,espn
Chandler Rivers,rating,75,71,
Chandler Rivers,teamID,Rookie,BAL,espn
Kaleb Elarms-Orr,rating,64,71,
Kaleb Elarms-Orr,position,OLB,MLB,
Kaleb Elarms-Orr,teamID,Rookie,BUF,espn
Maason Smith,rating,63,70,
Maason Smith,teamID,JAX,ATL,espn
Billy Schrauth,rating,79,69,
Billy Schrauth,teamID,Rookie,TB,espn
Charles Demmings,rating,73,69,
Charles Demmings,teamID,Rookie,MIN,espn
Tremon Smith,rating,58,68,
Tremon Smith,teamID,Free Agent,HOU,espn
Tom Kennedy,rating,58,68,
Tom Kennedy,teamID,Free Agent,DET,espn
Matt Hennessy,rating,57,67,
Matt Hennessy,teamID,Free Agent,DAL,espn
Elijah Simmons,position,DE,DT,
Brenton Cox Jr.,rating,56,66,
Brenton Cox Jr.,teamID,Free Agent,GB,espn
Reese Taylor,rating,56,66,
Reese Taylor,teamID,Free Agent,MIA,espn
Devon Key,rating,72,65,
Devon Key,teamID,Free Agent,DEN,espn
Zeek Biggers,rating,58,65,
Zeek Biggers,teamID,Free Agent,MIA,espn
Asim Richards,rating,57,64,
Asim Richards,teamID,Free Agent,NO,espn
Sam Ehlinger,rating,64,57,
Jalen Pitre,rating,87,86,
Quay Walker,rating,69,80,
Quay Walker,position,OLB,MLB,
Quay Walker,teamID,Free Agent,LV,espn
Rueben Bain Jr.,rating,91,80,
Rueben Bain Jr.,position,DE,MLB,
Rueben Bain Jr.,teamID,Rookie,TB,espn
Odafe Oweh,rating,79,80,
Odafe Oweh,position,OLB,MLB,
Gervon Dexter Sr.,rating,74,79,
Gervon Dexter Sr.,teamID,CHI,ATL,espn
Trenton Simpson,rating,79,78,
Terrion Arnold,rating,65,76,
Terrion Arnold,teamID,DET,SEA,espn
Uchenna Nwosu,rating,77,76,
Uchenna Nwosu,position,OLB,MLB,
Nic Scourton,rating,76,75,
Nic Scourton,position,OLB,MLB,
Omar Cooper Jr.,rating,83,75,
Omar Cooper Jr.,teamID,Rookie,NYJ,espn
Denzel Boston,rating,86,75,
Denzel Boston,teamID,Rookie,CLE,espn
Da'Shawn Hand,rating,73,74,
Da'Shawn Hand,position,DE,DT,
Landon Jackson,rating,73,74,
Levi Onwuzurike,rating,75,74,
Ashtyn Davis,rating,65,73,
Ashtyn Davis,teamID,Free Agent,SF,espn
Marquez Valdes-Scantling,rating,64,72,
Marquez Valdes-Scantling,teamID,Free Agent,LAC,espn
Akeem Davis-Gaither,rating,64,72,
Akeem Davis-Gaither,teamID,Free Agent,IND,espn
Ja'Marcus Ingram,rating,64,72,
Ja'Marcus Ingram,teamID,Free Agent,HOU,espn
Chris Moore,rating,61,72,
Chris Moore,teamID,Free Agent,BAL,espn
Mario Edwards,rating,61,72,
Mario Edwards,teamID,Free Agent,HOU,espn
Andy Dalton,rating,79,71,
Andy Dalton,teamID,CAR,PHI,espn
Damone Clark,rating,70,71,
Damone Clark,position,OLB,MLB,
Shy Tuttle,rating,63,71,
Shy Tuttle,teamID,Free Agent,WAS,espn
Cody Simon,rating,71,70,
Jared Wilson,rating,69,70,
Jared Wilson,position,OG,C,
Trey Pipkins,rating,61,69,
Trey Pipkins,teamID,Free Agent,LAC,espn
Mitchell Fraboni,rating,60,68,
Mitchell Fraboni,teamID,Free Agent,DEN,espn
Mike Morris,rating,69,68,
Simi Fehoko,rating,59,67,
Simi Fehoko,teamID,Free Agent,ARI,espn
Nate Boerkircher,rating,72,67,
Nate Boerkircher,teamID,Rookie,JAX,espn
Jack Endries,rating,74,66,
Jack Endries,teamID,Rookie,CIN,espn
James Williams,rating,65,66,
Bam Martin-Scott,rating,64,63,
Edgerrin Cooper,rating,82,80,
Zach Wood,rating,67,79,
Zach Wood,teamID,Free Agent,NO,espn
Omar Speights,rating,76,78,
Najee Harris,rating,65,77,
Najee Harris,teamID,Free Agent,NYG,espn
Jadarian Price,rating,85,76,
Jadarian Price,teamID,Rookie,SEA,espn
E.J. Speed,rating,77,75,
Jawaan Taylor,rating,63,75,
Jawaan Taylor,teamID,KC,ATL,espn
Justin Strnad,rating,72,74,
Darrell Baker Jr.,rating,62,74,
Darrell Baker Jr.,teamID,Free Agent,MIA,espn
Dani Dennis-Sutton,rating,80,74,
Dani Dennis-Sutton,teamID,Rookie,GB,espn
Jake Golday,rating,80,74,
Jake Golday,position,OLB,MLB,
Jake Golday,teamID,Rookie,MIN,espn
Payton Turner,rating,61,73,
Payton Turner,teamID,Free Agent,DET,espn
Blake Grupe,rating,82,73,
Blake Grupe,teamID,IND,NYJ,espn
Roy Robertson-Harris,rating,60,72,
Roy Robertson-Harris,teamID,Free Agent,NYG,espn
Jack Sawyer,rating,70,72,
Jack Sawyer,position,OLB,MLB,
Jonathan Mingo,rating,59,71,
Jonathan Mingo,teamID,Free Agent,DAL,espn
Kaytron Allen,rating,80,71,
Kaytron Allen,teamID,Rookie,WAS,espn
Demond Claiborne,rating,76,70,
Demond Claiborne,teamID,Rookie,MIN,espn
James Lynch,rating,71,69,
James Lynch,position,DE,DT,
Marist Liufau,rating,67,69,
Marist Liufau,position,OLB,MLB,
Decamerion Richardson,rating,57,69,
Decamerion Richardson,teamID,LV,NO,espn
Dawand Jones,rating,56,68,
Dawand Jones,teamID,Free Agent,CLE,espn
Jeremiah Trotter Jr.,rating,66,68,
Jared Wayne,rating,58,67,
Jared Wayne,teamID,Free Agent,HOU,espn
Trevor Keegan,rating,78,66,
Trevor Keegan,teamID,DAL,MIN,espn
Jamal Hill,rating,68,66,
Hunter Long,rating,77,65,
Hunter Long,teamID,JAX,ARI,espn
Anthony Campbell,rating,73,64,
Anthony Campbell,teamID,Free Agent,GB,espn
E.J. Jenkins,rating,67,58,
E.J. Jenkins,teamID,Free Agent,PHI,espn
T.J. Watt,position,OLB,MLB,
Zack Baun,rating,90,93,
Budda Baker,rating,77,90,
Budda Baker,teamID,Free Agent,ARI,espn
Brian Burns,rating,92,89,
Brian Burns,position,OLB,MLB,
Jamel Dean,rating,76,86,
Jamel Dean,teamID,Free Agent,PIT,espn
Jonathon Cooper,rating,87,84,
Jonathon Cooper,position,OLB,MLB,
Byron Young,rating,87,84,
Byron Young,position,OLB,MLB,
Taron Johnson,rating,70,83,
Taron Johnson,teamID,BUF,LV,espn
Daiyan Henley,rating,79,82,
David Bailey,rating,88,81,
David Bailey,position,DE,MLB,
David Bailey,teamID,Rookie,NYJ,espn
Romeo Doubs,rating,66,79,
Romeo Doubs,teamID,Free Agent,NE,espn
Akheem Mesidor,rating,78,79,
Akheem Mesidor,position,DE,MLB,
Akheem Mesidor,teamID,Rookie,LAC,espn
Rayshawn Jenkins,rating,64,77,
Rayshawn Jenkins,teamID,Free Agent,PIT,espn
Derick Hall,rating,74,77,
Derick Hall,position,OLB,MLB,
Zion Young,rating,86,76,
Zion Young,position,DE,MLB,
Zion Young,teamID,Rookie,BAL,espn
Christian Elliss,rating,78,75,
Antonio Williams,rating,88,75,
Antonio Williams,teamID,Rookie,WAS,espn
D'Angelo Ponds,rating,85,75,
D'Angelo Ponds,teamID,Rookie,NYJ,espn
Blake Miller,rating,85,75,
Blake Miller,teamID,Rookie,DET,espn
Jermod McCoy,rating,84,74,
Jermod McCoy,teamID,Rookie,LV,espn
Anthony Nelson,rating,77,74,
Anthony Nelson,position,OLB,MLB,
Tyler Ott,rating,60,73,
Tyler Ott,teamID,Free Agent,WAS,espn
Devin White,rating,60,73,
Devin White,position,OLB,MLB,
Devin White,teamID,Free Agent,DET,espn
Chris McClellan,rating,80,73,
Chris McClellan,teamID,Rookie,GB,espn
Zachariah Branch,rating,83,73,
Zachariah Branch,teamID,Rookie,ATL,espn
Princely Umanmielen,rating,69,72,
Princely Umanmielen,position,OLB,MLB,
Ross Matiscik,rating,62,72,
Ross Matiscik,teamID,Free Agent,JAX,espn
Ja'Kobi Lane,rating,82,72,
Ja'Kobi Lane,teamID,Rookie,BAL,espn
Trey Zuhn III,rating,65,72,
Trey Zuhn III,position,OT,C,
Trey Zuhn III,teamID,Rookie,LV,espn
Tacario Davis,rating,81,71,
Tacario Davis,teamID,Rookie,CIN,espn
Jeremiah Wright,rating,61,71,
Jeremiah Wright,teamID,Rookie,NO,espn
Colby Wooden,rating,56,69,
Colby Wooden,teamID,IND,NO,espn
David Walker,rating,72,69,
David Walker,position,OLB,MLB,
Ajani Cornelius,rating,71,68,
John Ridgeway,rating,53,66,
John Ridgeway,teamID,Free Agent,NO,espn
Landon Robinson,rating,73,66,
Landon Robinson,teamID,Rookie,CIN,espn
Segun Olubi,position,OLB,MLB,
Jordan Turner,rating,61,64,
Branson Combs,rating,67,64,
Josh Woods,rating,48,61,
Josh Woods,teamID,Free Agent,ATL,espn
Nik Bonitto,rating,90,91,
Nik Bonitto,position,OLB,MLB,
Alex Highsmith,rating,83,87,
Alex Highsmith,position,OLB,MLB,
Isaac Seumalo,rating,69,80,
Isaac Seumalo,teamID,Free Agent,ARI,espn
Patrick Queen,rating,66,80,
Patrick Queen,teamID,Free Agent,PIT,espn
David Njoku,rating,65,79,
David Njoku,teamID,Free Agent,LAC,espn
Dillon Thieneman,rating,91,77,
Dillon Thieneman,teamID,Rookie,CHI,espn
Zaven Collins,rating,80,76,
Zaven Collins,position,OLB,MLB,
Jalyx Hunt,rating,80,76,
Jalyx Hunt,position,OLB,MLB,
Deatrich Wise,rating,80,76,
Michael Hoecht,rating,74,75,
Michael Hoecht,position,OLB,DE,
Derrick Barnes,rating,71,75,
A.J. Epenesa,rating,64,75,
Nick Scott,rating,61,75,
Nick Scott,teamID,Free Agent,CAR,espn
Elijah Moore,rating,61,75,
Elijah Moore,teamID,Free Agent,PHI,espn
Cole Holcomb,rating,79,75,
Cam Lewis,rating,70,74,
Kenyon Sadiq,rating,82,74,
Kenyon Sadiq,teamID,Rookie,NYJ,espn
Jonathan Bullard,rating,72,73,
Jonathan Bullard,position,DE,DT,
Jakorian Bennett,rating,59,73,
Jakorian Bennett,teamID,Free Agent,PHI,espn
Chris Paul,rating,59,73,
Chris Paul,teamID,Free Agent,WAS,espn
Kingsley Enagbare,rating,69,73,
Kingsley Enagbare,position,OLB,MLB,
Keionte Scott,rating,78,73,
Keionte Scott,teamID,Rookie,TB,espn
Oluwafemi Oladejo,rating,72,73,
Oluwafemi Oladejo,position,OLB,DE,
KhaDarel Hodge,rating,60,71,
KhaDarel Hodge,teamID,ATL,SF,espn
Reid Ferguson,rating,57,71,
Reid Ferguson,teamID,Free Agent,BUF,espn
Beaux Limmer,rating,67,71,
Sai'vion Jones,rating,66,70,
Ventrell Miller,rating,66,70,
Max Klare,rating,81,70,
Max Klare,teamID,Rookie,LAR,espn
Zakee Wheatley,rating,78,70,
Zakee Wheatley,teamID,Rookie,CAR,espn
Jaylon Carlies,rating,68,69,
Jordan Magee,rating,72,68,
Kain Medrano,rating,62,66,
Truman Jones,rating,69,65,
Truman Jones,position,OLB,DE,
Luke Haggard,rating,68,64,
Luke Haggard,position,OT,OG,
Jack Cochrane,rating,66,62,
Isaiah World,rating,72,61,
Isaiah World,teamID,Rookie,LAC,espn
Minkah Fitzpatrick,rating,74,89,
Minkah Fitzpatrick,teamID,MIA,NYJ,espn
Devin Lloyd,rating,86,88,
Zach Allen,rating,92,87,
Kobie Turner,rating,90,85,
Jaelan Phillips,rating,87,82,
Jaelan Phillips,position,OLB,MLB,
Dallas Turner,rating,75,80,
Dallas Turner,position,OLB,MLB,
Luke Rhodes,rating,62,77,
Luke Rhodes,teamID,Free Agent,IND,espn
Mike Green,rating,70,75,
Mike Green,position,OLB,MLB,
KC Concepcion,rating,90,75,
KC Concepcion,teamID,Rookie,CLE,espn
Bud Clark,rating,78,75,
Bud Clark,teamID,Rookie,SEA,espn
Max Melton,rating,59,74,
Max Melton,teamID,Free Agent,ARI,espn
Michael Carter II,rating,79,74,
Shemar Turner,rating,67,72,
Brandon Cisse,rating,84,72,
Brandon Cisse,teamID,Rookie,GB,espn
Emmett Johnson,rating,83,71,
Emmett Johnson,teamID,Rookie,KC,espn
Ty Simpson,rating,83,71,
Ty Simpson,teamID,Rookie,LAR,espn
Alex Palczewski,rating,65,70,
C.J. Henderson,rating,58,70,
C.J. Henderson,teamID,Free Agent,ATL,espn
Cyrus Allen,rating,55,70,
Cyrus Allen,teamID,Rookie,KC,espn
JD Bertrand,rating,64,69,
Shemar James,rating,64,69,
Shemar James,position,OLB,MLB,
Jonah Laulu,rating,54,69,
Jonah Laulu,teamID,Free Agent,LV,espn
Rylie Mills,rating,64,69,
Rylie Mills,position,DE,DT,
Noah Sewell,rating,63,68,
Yahya Black,rating,73,68,
Kalia Davis,rating,55,67,
Kalia Davis,teamID,Free Agent,CLE,espn
Dorian Mausi,rating,67,62,
Arnold Ebiketie,rating,83,77,
Arnold Ebiketie,position,OLB,MLB,
Derrick Moore,rating,90,77,
Derrick Moore,teamID,Rookie,DET,espn
James Winchester,rating,59,75,
James Winchester,teamID,Free Agent,KC,espn
Joshua Uche,rating,72,75,
Joshua Uche,teamID,MIA,Free Agent,espn-demote
Colton Hood,rating,88,75,
Colton Hood,teamID,Rookie,NYG,espn
J.J. Jansen,rating,58,74,
Joseph Ossai,rating,80,74,
Joseph Ossai,position,OLB,DE,
Keylan Rutledge,rating,87,74,
Keylan Rutledge,teamID,Rookie,HOU,espn
Billy Bowman Jr.,rating,67,73,
Billy Bowman Jr.,position,S,CB,
Anthony Hill Jr.,rating,89,73,
Anthony Hill Jr.,teamID,Rookie,TEN,espn
Emmanuel Pregnon,rating,83,73,
Emmanuel Pregnon,teamID,Rookie,JAX,espn
Jonah Coleman,rating,86,73,
Jonah Coleman,teamID,Rookie,DEN,espn
Ted Hurst,rating,85,72,
Ted Hurst,teamID,Rookie,TB,espn
Mike Washington Jr.,rating,85,72,
Mike Washington Jr.,teamID,Rookie,LV,espn
Daylen Everette,rating,85,72,
Daylen Everette,teamID,Rookie,PIT,espn
Troy Dye,rating,68,71,
Kaleb Proctor,rating,81,71,
Kaleb Proctor,teamID,Rookie,ARI,espn
Jon Gaines II,rating,72,69,
Jon Gaines II,position,C,OG,
Harold Perkins Jr.,rating,79,66,
Harold Perkins Jr.,position,OLB,MLB,
Harold Perkins Jr.,teamID,Rookie,ATL,espn
Khalil Mack,rating,79,86,
Khalil Mack,position,OLB,MLB,
Leo Chenal,rating,86,82,
Leo Chenal,position,OLB,MLB,
Bradley Chubb,rating,85,78,
Bradley Chubb,position,OLB,MLB,
Josaiah Stewart,rating,67,74,
Josaiah Stewart,position,OLB,MLB,
Isaiah Simmons,rating,80,73,
Isaiah Simmons,position,MLB,S,
Chau Smith-Wade,rating,59,73,
Chau Smith-Wade,teamID,Free Agent,CAR,espn
Malachi Fields,rating,90,73,
Malachi Fields,teamID,Rookie,NYG,espn
Dante Stills,rating,64,71,
Dante Stills,position,DE,DT,
Jordan Elliott,rating,53,70,
Jordan Elliott,teamID,Free Agent,TEN,espn
Elijah Ponder,rating,63,70,
Elijah Ponder,position,OLB,MLB,
Bryce Lance,rating,78,70,
Bryce Lance,teamID,Rookie,NO,espn
Bryce Boettcher,rating,75,70,
Bryce Boettcher,position,OLB,MLB,
Bryce Boettcher,teamID,Rookie,IND,espn
Adetomiwa Adebawore,rating,52,69,
Adetomiwa Adebawore,teamID,Free Agent,IND,espn
Brock Hoffman,rating,62,69,
Deion Burks,rating,80,69,
Deion Burks,teamID,Rookie,IND,espn
Carson Beck,rating,82,68,
Carson Beck,teamID,Rookie,ARI,espn
VJ Payne,rating,79,65,
VJ Payne,teamID,Rookie,NYJ,espn
Ethan Burke,rating,75,64,
Ethan Burke,position,DE,MLB,
Ethan Burke,teamID,Rookie,BAL,espn
Jordyn Brooks,rating,89,84,
Josh Harris,rating,63,81,
Josh Harris,teamID,Free Agent,LAC,espn
Yaya Diaby,rating,71,79,
Yaya Diaby,position,OLB,MLB,
Cedric Gray,rating,83,78,
Lukas Van Ness,rating,69,77,
Lukas Van Ness,position,OLB,DE,
Deonte Banks,rating,58,76,
Deonte Banks,teamID,Free Agent,NYG,espn
Jamien Sherwood,rating,84,76,
Chris Johnson,rating,91,76,
Chris Johnson,teamID,Rookie,MIA,espn
Teddye Buchanan,rating,70,75,
DeMarvion Overshown,rating,67,75,
DeMarvion Overshown,position,OLB,MLB,
Jordan Burch,rating,68,73,
Jordan Burch,position,OLB,MLB,
Ruke Orhorhoro,rating,58,73,
Ruke Orhorhoro,teamID,ATL,JAX,espn
Justin Eboigbe,rating,65,73,
Justin Eboigbe,position,DE,DT,
Willie Gay Jr.,rating,80,72,
Elijah Sarratt,rating,83,71,
Elijah Sarratt,teamID,Rookie,BAL,espn
Sean Rhyan,rating,75,70,
Reggie Virgil,rating,52,70,
Reggie Virgil,teamID,Rookie,ARI,espn
Smael Mondon Jr.,rating,77,69,
Zane Durant,rating,81,69,
Zane Durant,teamID,Rookie,BUF,espn
L.J. Collier,rating,63,68,
Justin Joly,rating,80,68,
Justin Joly,teamID,Rookie,MIA,espn
Jacob Monk,rating,74,66,
Chaz Chambliss,rating,70,65,
Chaz Chambliss,position,OLB,MLB,
Eli Raridon,rating,80,65,
Eli Raridon,teamID,Rookie,NE,espn
Cody Lindenberg,rating,71,63,
Isaiah McDuffie,rating,69,78,
Arden Key,rating,84,75,
Arden Key,position,OLB,DE,
Logan Hall,rating,65,74,
Brenen Thompson,rating,85,72,
Brenen Thompson,teamID,Rookie,LAC,espn
Michael Taaffe,rating,83,70,
Michael Taaffe,teamID,Rookie,MIA,espn
Elijah Roberts,rating,61,70,
Jack Kiser,rating,61,67,
Jack Kiser,position,OLB,MLB,
Drew Kendall,rating,75,66,
John Williams,rating,71,62,
Josh Sweat,rating,75,85,
Josh Sweat,position,OLB,MLB,
Jalen Redmond,rating,70,80,
Jalen Redmond,position,DE,DT,
Jonah Elliss,rating,63,73,
Jonah Elliss,position,OLB,MLB,
Jordan Morgan,rating,62,72,
Brennan Jackson,rating,63,70,
Brennan Jackson,position,OLB,MLB,
Keith Abney II,rating,85,68,
Keith Abney II,teamID,Rookie,DET,espn
Milton Williams,rating,75,86,
Milton Williams,position,DE,DT,
Harold Landry III,rating,71,82,
Harold Landry III,position,OLB,MLB,
Tuli Tuipulotu,rating,86,78,
Tuli Tuipulotu,position,OLB,MLB,
Eric Wilson,rating,69,77,
Payton Wilson,rating,64,75,
Christian Rozeboom,rating,62,73,
Reggie Gilliam,rating,61,83,
Reggie Gilliam,teamID,Free Agent,NE,espn
Elijah Molden,rating,67,79,
Fernando Mendoza,rating,89,73,
Fernando Mendoza,teamID,Rookie,LV,espn
Kaelon Black,rating,89,73,
Kaelon Black,teamID,Rookie,SF,espn
Chris Brazzell II,rating,91,72,
Chris Brazzell II,teamID,Rookie,CAR,espn
Blake Brandel,rating,59,71,
Blake Brandel,position,OG,C,
Drew Allar,rating,88,69,
Drew Allar,teamID,Rookie,PIT,espn
Cade Klubnik,rating,86,67,
Cade Klubnik,teamID,Rookie,NYJ,espn
Lee Hunter,rating,88,74,
Lee Hunter,teamID,Rookie,CAR,espn
Caleb Tiernan,rating,89,72,
Caleb Tiernan,teamID,Rookie,MIN,espn
Skyler Bell,rating,88,71,
Skyler Bell,teamID,Rookie,BUF,espn
Collin Oliver,rating,80,70,
Collin Oliver,position,OLB,DE,
Eyioma Uwazurike,rating,76,69,
Josh Cameron,rating,51,68,
Josh Cameron,teamID,Rookie,JAX,espn
Joe Royer,rating,77,66,
Joe Royer,teamID,Rookie,CLE,espn
Derrick Brown,rating,82,96,
Derrick Brown,position,DE,DT,
Nolan Smith,rating,69,83,
Nolan Smith,position,OLB,MLB,
Trent Sieg,rating,57,78,
Trent Sieg,teamID,Free Agent,DAL,espn
DeMonte Capehart,rating,85,70,
DeMonte Capehart,teamID,Rookie,TB,espn
Que Robinson,rating,83,69,
Que Robinson,position,OLB,MLB,
Sam Roush,rating,86,65,
Sam Roush,teamID,Rookie,CHI,espn
Andrew Van Ginkel,rating,68,83,
Andrew Van Ginkel,position,OLB,MLB,
Braden Fiske,rating,65,80,
Austin Corbett,rating,64,76,
Avonte Maddox,rating,88,73,
Chris Bell,rating,93,71,
Chris Bell,teamID,Rookie,MIA,espn
Oscar Delp,rating,89,67,
Oscar Delp,teamID,Rookie,NO,espn
Dametrious Crownover,rating,80,67,
Dametrious Crownover,teamID,Rookie,NE,espn
Taylen Green,rating,84,65,
Taylen Green,teamID,Rookie,CLE,espn
D.J. Wonnum,rating,63,76,
D.J. Wonnum,teamID,DET,Free Agent,espn-demote
Cole Payton,rating,88,67,
Cole Payton,teamID,Rookie,PHI,espn
Seth McGowan,rating,87,66,
Seth McGowan,teamID,Rookie,IND,espn
Romello Height,rating,94,75,
Romello Height,teamID,Rookie,SF,espn
Marlin Klein,rating,87,64,
Marlin Klein,teamID,Rookie,HOU,espn
Dallen Bentley,rating,80,63,
John Michael Gyllenborg,rating,82,62,
